epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,538.865,0.82458,0.66637,1.16336,0.81227,0.66092,0.75394,0.50166,1.05089,0.93887,1.46758,0.000535345,0.000535345,0.000535345
50,549.777,0.8419,0.66849,1.16142,0.74552,0.78541,0.80938,0.51568,1.09408,0.9577,1.49203,0.000511769,0.000511769,0.000511769
51,560.687,0.82421,0.64297,1.14796,0.72502,0.6964,0.77618,0.5,1.06028,0.86279,1.46741,0.000488193,0.000488193,0.000488193
52,571.574,0.82209,0.64096,1.14469,0.81118,0.71794,0.81952,0.55012,1.06915,0.84449,1.51563,0.000464617,0.000464617,0.000464617
53,582.462,0.79634,0.62705,1.13483,0.75725,0.76466,0.8103,0.54575,1.02032,0.88287,1.4823,0.000441041,0.000441041,0.000441041
54,593.38,0.78626,0.61537,1.12852,0.82919,0.74929,0.81308,0.55377,1.02366,0.88324,1.4401,0.000417464,0.000417464,0.000417464
55,604.461,0.8066,0.62408,1.15128,0.82774,0.71962,0.83844,0.57249,1.02062,0.87495,1.4582,0.000393888,0.000393888,0.000393888
56,615.58,0.77807,0.59381,1.1212,0.88915,0.72439,0.84739,0.56343,1.05483,0.8419,1.49515,0.000370312,0.000370312,0.000370312
57,626.477,0.77497,0.59115,1.12685,0.91281,0.71627,0.86806,0.60156,1.01115,0.81771,1.42485,0.000346736,0.000346736,0.000346736
58,637.459,0.78207,0.58796,1.12527,0.828,0.74454,0.82116,0.58318,1.00406,0.83763,1.43009,0.00032316,0.00032316,0.00032316
59,648.331,0.76675,0.57619,1.11665,0.8375,0.75265,0.82158,0.59985,1.00336,0.89853,1.41811,0.000299584,0.000299584,0.000299584
60,659.205,0.74024,0.57001,1.09911,0.82454,0.83186,0.86849,0.57774,0.99162,0.84615,1.44265,0.000276008,0.000276008,0.000276008
61,670.362,0.73523,0.50234,1.07587,0.92099,0.74143,0.85063,0.55544,1.01233,0.83537,1.46639,0.000252431,0.000252431,0.000252431
62,681.26,0.70054,0.44248,1.05863,0.90847,0.76325,0.88835,0.57088,0.99147,0.83125,1.41927,0.000228855,0.000228855,0.000228855
63,692.14,0.71139,0.43924,1.05554,0.89695,0.7006,0.85191,0.58234,1.03627,0.85951,1.46369,0.000205279,0.000205279,0.000205279
64,703.026,0.68723,0.42024,1.03889,0.86876,0.82764,0.86187,0.57617,0.97154,0.81439,1.4082,0.000181703,0.000181703,0.000181703
65,713.933,0.66381,0.40941,1.02545,0.92538,0.78568,0.87471,0.61116,0.95472,0.81553,1.37016,0.000158127,0.000158127,0.000158127
66,724.898,0.66553,0.39826,1.02568,0.88656,0.8311,0.8849,0.60607,0.96929,0.77713,1.41389,0.000134551,0.000134551,0.000134551
67,735.898,0.64299,0.39425,1.0108,0.89179,0.80609,0.88476,0.60361,0.95273,0.76483,1.39425,0.000110975,0.000110975,0.000110975
68,746.882,0.63311,0.38511,1.01045,0.79471,0.79834,0.85021,0.59167,0.97291,0.78911,1.4195,8.73984e-05,8.73984e-05,8.73984e-05
69,757.863,0.62937,0.37996,1.00278,0.86718,0.81377,0.88723,0.60556,0.96584,0.75741,1.41495,6.38223e-05,6.38223e-05,6.38223e-05
70,768.772,0.6105,0.3749,1.00209,0.90583,0.79958,0.89297,0.60588,0.96297,0.76285,1.40829,4.02461e-05,4.02461e-05,4.02461e-05
