epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2535,1.35445,2.01634,1.52383,0.6462,0.22315,0.12928,0.03995,2.3915,8.72772,3.46638,0.000548258,0.000548258,0.000548258
2,22.3678,1.62418,1.89464,1.76763,0.50033,0.06544,0.00019,7e-05,3.70055,inf,14.579,0.00108831,0.00108831,0.00108831
3,33.3699,1.70283,2.02184,1.84512,0.5923,0.13758,0.05279,0.01306,2.69068,5.68732,3.29292,0.00161265,0.00161265,0.00161265
4,44.3537,1.67544,1.93484,1.80121,0.71559,0.19078,0.16453,0.06022,2.13283,9.15265,2.90357,0.00159627,0.00159627,0.00159627
5,55.3553,1.60525,1.86253,1.7704,0.80007,0.21477,0.23305,0.11827,1.79403,3.39589,2.32612,0.0015727,0.0015727,0.0015727
6,66.4079,1.50865,1.68699,1.6559,0.7239,0.22819,0.2087,0.10904,1.91851,2.57941,2.36997,0.00154912,0.00154912,0.00154912
7,77.3813,1.48791,1.6768,1.6452,0.84135,0.25336,0.29768,0.17853,1.59428,2.22598,1.99247,0.00152554,0.00152554,0.00152554
8,88.4137,1.39187,1.55342,1.5733,0.7475,0.24011,0.23573,0.13305,1.61892,2.6508,2.00091,0.00150197,0.00150197,0.00150197
9,99.353,1.3892,1.55266,1.56397,0.85779,0.27181,0.35555,0.20788,1.53294,1.88442,1.95402,0.00147839,0.00147839,0.00147839
10,110.37,1.3365,1.49266,1.55999,0.8284,0.27936,0.31092,0.18956,1.60554,2.11453,1.94155,0.00145481,0.00145481,0.00145481
11,121.341,1.3463,1.47675,1.52256,0.84211,0.30538,0.36411,0.22212,1.45605,1.77002,1.81203,0.00143124,0.00143124,0.00143124
12,132.403,1.31028,1.42408,1.50681,0.83647,0.29688,0.33987,0.21223,1.48367,1.78157,1.80987,0.00140766,0.00140766,0.00140766
13,143.328,1.29138,1.36386,1.50639,0.88849,0.29362,0.36369,0.22893,1.45323,1.79884,1.78724,0.00138409,0.00138409,0.00138409
14,154.363,1.27855,1.35296,1.48037,0.8757,0.30537,0.42839,0.25656,1.38278,1.59262,1.76713,0.00136051,0.00136051,0.00136051
15,165.432,1.20935,1.27907,1.43946,0.89384,0.31711,0.4512,0.28145,1.31081,1.47991,1.71034,0.00133693,0.00133693,0.00133693
16,176.447,1.25713,1.27018,1.45706,0.94775,0.29195,0.42992,0.26216,1.34657,1.5506,1.7345,0.00131336,0.00131336,0.00131336
17,187.399,1.20116,1.22188,1.41095,0.90179,0.30891,0.48301,0.29921,1.35622,1.57508,1.74197,0.00128978,0.00128978,0.00128978
18,198.438,1.18577,1.20526,1.41284,0.35367,0.45337,0.45657,0.27746,1.3522,1.54422,1.74798,0.00126621,0.00126621,0.00126621
19,209.4,1.18746,1.16324,1.40315,0.33603,0.57091,0.55285,0.31622,1.24713,1.4455,1.65046,0.00124263,0.00124263,0.00124263
20,220.452,1.1374,1.14026,1.39084,0.43432,0.55025,0.52754,0.31902,1.2874,1.29084,1.66415,0.00121905,0.00121905,0.00121905
21,231.431,1.12634,1.13343,1.3852,0.40112,0.50433,0.54492,0.3355,1.30251,1.35759,1.70217,0.00119548,0.00119548,0.00119548
22,242.497,1.13765,1.11049,1.35706,0.48524,0.55741,0.55677,0.34131,1.24136,1.22918,1.64476,0.0011719,0.0011719,0.0011719
23,253.649,1.08816,1.07903,1.35175,0.43995,0.56341,0.53288,0.32515,1.30483,1.32386,1.70015,0.00114832,0.00114832,0.00114832
24,264.64,1.106,1.08561,1.35658,0.59654,0.63061,0.61124,0.37893,1.16879,1.30234,1.55947,0.00112475,0.00112475,0.00112475
25,275.656,1.1105,1.04386,1.35158,0.54361,0.51665,0.56965,0.34789,1.24046,1.38036,1.67026,0.00110117,0.00110117,0.00110117
26,286.722,1.05467,1.02845,1.31517,0.45068,0.61166,0.56193,0.36167,1.17391,1.29207,1.57973,0.0010776,0.0010776,0.0010776
27,297.799,1.04249,1.01896,1.30802,0.53056,0.54208,0.58846,0.34435,1.20508,1.25187,1.6076,0.00105402,0.00105402,0.00105402
28,308.897,1.04497,0.9888,1.30452,0.65014,0.49762,0.58816,0.39063,1.20382,1.23941,1.56859,0.00103044,0.00103044,0.00103044
29,319.808,1.02957,0.96354,1.28607,0.57264,0.64261,0.68264,0.40923,1.17471,1.10816,1.55326,0.00100687,0.00100687,0.00100687
30,330.793,1.05262,0.95241,1.30077,0.65559,0.56314,0.63722,0.42327,1.17603,1.14389,1.57221,0.000983292,0.000983292,0.000983292
31,341.756,1.0231,0.92014,1.3009,0.53514,0.56367,0.59815,0.3719,1.1587,1.13825,1.5717,0.000959716,0.000959716,0.000959716
32,352.655,1.00682,0.91456,1.27445,0.65491,0.57948,0.65879,0.41962,1.14348,1.16033,1.50484,0.00093614,0.00093614,0.00093614
33,363.534,0.9995,0.90801,1.27741,0.63626,0.5287,0.60937,0.41316,1.14211,1.13514,1.53361,0.000912563,0.000912563,0.000912563
34,374.452,1.00302,0.8899,1.26744,0.72197,0.51077,0.62512,0.43878,1.10362,1.19505,1.5033,0.000888987,0.000888987,0.000888987
35,385.422,0.97747,0.85374,1.25085,0.59673,0.66314,0.64296,0.43106,1.07628,1.09914,1.50053,0.000865411,0.000865411,0.000865411
36,396.306,0.95699,0.83881,1.25528,0.61399,0.66932,0.65555,0.44423,1.09834,1.07691,1.49861,0.000841835,0.000841835,0.000841835
37,407.254,0.93152,0.81638,1.21897,0.68174,0.61771,0.68828,0.45565,1.1231,1.04898,1.53153,0.000818259,0.000818259,0.000818259
38,418.246,0.93484,0.81414,1.22527,0.72517,0.64131,0.73321,0.48306,1.05223,1.01504,1.45965,0.000794683,0.000794683,0.000794683
39,429.323,0.94877,0.81257,1.2377,0.81556,0.71627,0.80569,0.55504,0.99177,0.95883,1.41131,0.000771107,0.000771107,0.000771107
40,440.391,0.94685,0.78843,1.21938,0.83076,0.62725,0.76302,0.48416,1.08369,0.94973,1.49754,0.00074753,0.00074753,0.00074753
41,451.279,0.90375,0.75219,1.20515,0.76245,0.62866,0.78307,0.4864,1.04824,0.95484,1.45812,0.000723954,0.000723954,0.000723954
42,462.181,0.89385,0.75931,1.20741,0.74901,0.68156,0.76872,0.50762,1.06592,0.94878,1.49668,0.000700378,0.000700378,0.000700378
43,473.306,0.90402,0.74245,1.20571,0.80835,0.65949,0.75207,0.4748,1.07088,0.97801,1.49427,0.000676802,0.000676802,0.000676802
44,484.223,0.86389,0.71657,1.19311,0.6858,0.71276,0.71977,0.46736,1.05219,0.96867,1.48812,0.000653226,0.000653226,0.000653226
45,495.128,0.85753,0.69028,1.17674,0.70643,0.70841,0.76602,0.50762,1.06225,0.95952,1.46342,0.00062965,0.00062965,0.00062965
46,506.033,0.85537,0.6809,1.17353,0.76457,0.71176,0.77646,0.52411,1.03711,1.0022,1.44387,0.000606074,0.000606074,0.000606074
47,517.047,0.83696,0.69221,1.17038,0.69008,0.70814,0.74942,0.47797,1.09295,1.02251,1.51121,0.000582497,0.000582497,0.000582497
48,527.928,0.85466,0.69954,1.17714,0.76194,0.74929,0.78514,0.53327,1.06178,0.9684,1.46582,0.000558921,0.000558921,0.000558921
