epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,140.635,0.89288,0.73347,1.17026,0.79336,0.71579,0.80341,0.51684,1.02059,0.8852,1.38254,0.000700378,0.000700378,0.000700378
43,143.957,0.89613,0.71195,1.17078,0.76945,0.76663,0.79428,0.49084,1.074,0.96292,1.43213,0.000676802,0.000676802,0.000676802
44,147.348,0.86669,0.70108,1.16134,0.69862,0.80027,0.80898,0.50753,1.05178,0.89365,1.41602,0.000653226,0.000653226,0.000653226
45,150.651,0.88411,0.70326,1.17038,0.79029,0.64226,0.76199,0.48348,1.06542,0.92132,1.42895,0.00062965,0.00062965,0.00062965
46,153.977,0.86313,0.70265,1.14889,0.73575,0.71666,0.77584,0.49099,1.03098,0.885,1.39429,0.000606074,0.000606074,0.000606074
47,157.298,0.8549,0.69905,1.1473,0.7031,0.79239,0.74694,0.45309,1.04746,0.91038,1.41832,0.000582497,0.000582497,0.000582497
48,160.61,0.87496,0.70435,1.15008,0.76872,0.75892,0.8155,0.5239,1.02048,0.87822,1.39058,0.000558921,0.000558921,0.000558921
49,163.947,0.86296,0.68787,1.14887,0.83073,0.74555,0.84106,0.54124,1.00226,0.8268,1.37178,0.000535345,0.000535345,0.000535345
50,167.276,0.85619,0.66527,1.14004,0.7878,0.79018,0.82402,0.50293,1.03807,0.94853,1.39124,0.000511769,0.000511769,0.000511769
51,170.596,0.84121,0.65325,1.13094,0.82843,0.71318,0.82376,0.51899,0.99784,0.84131,1.37912,0.000488193,0.000488193,0.000488193
52,173.91,0.84418,0.66352,1.12849,0.91107,0.69922,0.85223,0.55523,1.0128,0.8332,1.38692,0.000464617,0.000464617,0.000464617
53,177.23,0.82329,0.63911,1.1195,0.89628,0.79239,0.86582,0.56913,1.02686,0.84654,1.4111,0.000441041,0.000441041,0.000441041
54,180.607,0.81476,0.63638,1.11705,0.77411,0.79883,0.84402,0.57285,0.9788,0.81029,1.34765,0.000417464,0.000417464,0.000417464
55,183.924,0.81766,0.63545,1.12229,0.83509,0.77459,0.86209,0.57994,0.98435,0.78776,1.35588,0.000393888,0.000393888,0.000393888
56,187.243,0.81134,0.62249,1.10684,0.81434,0.80865,0.86302,0.57964,0.97849,0.84787,1.36246,0.000370312,0.000370312,0.000370312
57,190.554,0.80579,0.62001,1.11019,0.80617,0.7362,0.81446,0.55749,0.99493,0.83268,1.3596,0.000346736,0.000346736,0.000346736
58,193.861,0.81695,0.61599,1.112,0.78136,0.8358,0.86004,0.56272,0.98685,0.81646,1.35458,0.00032316,0.00032316,0.00032316
59,197.177,0.80202,0.60068,1.10677,0.77184,0.79781,0.8389,0.55324,0.97904,0.79016,1.35208,0.000299584,0.000299584,0.000299584
